index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
0,A,EQUITY,41815060480.0,302000992.0,NYQ,17.832,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",35.14213,0.0056887325
1,AAL,EQUITY,11804179456.0,647513984.0,NMS,-11.486,American Airlines Group Inc.,"American Airlines Group, Inc.",,0.0
2,AAP,EQUITY,13430999040.0,62355200.0,NYQ,51.663,"Advance Auto Parts, Inc.",Advance Auto Parts Inc.,21.936552,0.011645782
3,AAPL,EQUITY,2925343014912.0,16406400000.0,NMS,3.841,Apple Inc.,Apple Inc.,31.78342,0.004883093
4,ABBV,EQUITY,286573363200.0,1767879936.0,NYQ,7.665,AbbVie Inc.,AbbVie Inc.,38.63203,0.03244322
5,ABC,EQUITY,32131571712.0,208132992.0,NYQ,1.073,AmerisourceBergen Corporation,AmerisourceBergen Corporation,20.890394,0.011532665
6,ABMD,EQUITY,15060127744.0,45497500.0,NMS,30.432,"Abiomed, Inc.","ABIOMED, Inc.",101.63034,
7,ABT,EQUITY,212236713984.0,1768290048.0,NYQ,19.466,Abbott Laboratories,Abbott Laboratories,29.782553,0.015277541
8,ACN,EQUITY,214869622784.0,632001024.0,NYQ,32.2,Accenture plc,Accenture plc,35.338604,0.011374466
9,ADBE,EQUITY,221147086848.0,475800000.0,NMS,31.086,Adobe Inc.,Adobe Inc.,46.386227,
10,ADI,EQUITY,89174941696.0,525331008.0,NMS,72.321,"Analog Devices, Inc.","Analog Devices, Inc.",49.06069,0.016731327
11,ADM,EQUITY,48637804544.0,559441024.0,NYQ,39.301,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,18.777538,0.016255667
12,ADP,EQUITY,94465859584.0,421384000.0,NMS,12.679,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",35.471516,0.017146809
13,ADSK,EQUITY,49106771968.0,219972992.0,NMS,5.812,"Autodesk, Inc.","Autodesk, Inc.",37.65857,
14,AEE,EQUITY,23715207168.0,257606000.0,NYQ,37.597,Ameren Corporation,Ameren Corporation,23.992702,0.024176437
15,AEP,EQUITY,48775282688.0,496390016.0,NMS,44.24,"American Electric Power Company, Inc.",American Electric Power Company,20.634188,0.030692657
16,AES,EQUITY,16941202432.0,666713984.0,NYQ,3.658,The AES Corporation,The AES Corporation,32.744843,0.023638615
17,AFL,EQUITY,43012546560.0,661528000.0,NYQ,50.62,Aflac Incorporated,AFLAC Incorporated,10.543214,0.019692976
18,AIG,EQUITY,51997409280.0,830297984.0,NYQ,77.026,"American International Group, Inc.","American International Group, I",9.820449,0.02026599
19,AIZ,EQUITY,10320759808.0,56976700.0,NYQ,99.809,"Assurant, Inc.","Assurant, Inc.",8.001944,0.014436486
20,AJG,EQUITY,35699490816.0,207278000.0,NYQ,40.623,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,37.26309,0.011367053
21,AKAM,EQUITY,19454543872.0,162480000.0,NMS,28.213,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",32.885197,
22,ALB,EQUITY,25980370944.0,116976000.0,NYQ,48.678,Albemarle Corporation,Albemarle Corporation,119.02465,0.0072612655
23,ALGN,EQUITY,35645546496.0,78853104.0,NMS,44.6,"Align Technology, Inc.","Align Technology, Inc.",48.722786,
24,ALK,EQUITY,7380191232.0,125311000.0,NYQ,28.179,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",566.2981,0.0
25,ALL,EQUITY,39681691648.0,286676000.0,NYQ,85.969,The Allstate Corporation,Allstate Corporation (The),12.781163,0.021405406
26,ALLE,EQUITY,10269284352.0,89695904.0,NYQ,9.635,Allegion plc,Allegion plc,22.510815,0.0124344975
27,AMAT,EQUITY,125444710400.0,888513024.0,NMS,13.73,"Applied Materials, Inc.","Applied Materials, Inc.",22.060156,0.0067825965
28,AMCR,EQUITY,17623789568.0,1533170048.0,NYQ,3.041,Amcor plc,Amcor plc,18.937397,0.041843973
29,AMD,EQUITY,148379156480.0,1207609984.0,NMS,5.888,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",37.899475,
30,AME,EQUITY,31265794048.0,231324992.0,NYQ,28.351,"AMETEK, Inc.","AMETEK, Inc.",33.874588,0.005886792
31,AMGN,EQUITY,135206363136.0,563265984.0,NMS,14.543,Amgen Inc.,Amgen Inc.,24.74384,0.029045468
32,AMP,EQUITY,34955554816.0,111890000.0,NYQ,50.775,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",16.982496,0.013922752
33,AMT,EQUITY,113785192448.0,455414016.0,NYQ,11.882,American Tower Corporation,American Tower Corporation (REI,45.36953,0.02135972
34,AMZN,EQUITY,1722906050560.0,507148000.0,NMS,237.799,"Amazon.com, Inc.","Amazon.com, Inc.",66.4836,
35,ANET,EQUITY,43234037760.0,307300000.0,NYQ,12.568,"Arista Networks, Inc.","Arista Networks, Inc.",57.121395,
36,ANSS,EQUITY,28571867136.0,87253000.0,NMS,49.755,"ANSYS, Inc.","ANSYS, Inc.",61.57578,
37,ANTM,EQUITY,118707052544.0,242715008.0,NYQ,147.158,"Anthem, Inc.","Anthem, Inc.",22.002878,0.009161336
38,AON,EQUITY,71828234240.0,220332000.0,NYQ,9.977,Aon plc,Aon plc,81.235985,0.0061127394
39,AOS,EQUITY,10706031616.0,133187000.0,NYQ,11.916,A. O. Smith Corporation,A.O. Smith Corporation,23.275085,0.015702853
